Bedrooms,Bathrooms,SquareFootage,Zipcode,Price
7,4.5,2217,82964,489612.7893946419
5,3.0,3130,61205,556572.3077821534
8,3.0,3933,25817,883371.0781357203
2,1.5,2197,12420,441771.0700605435
1,4.5,1111,94448,286181.536453492
4,1.5,5682,79853,986546.0784235001
4,3.5,852,99897,260299.96941979186
4,4.5,4733,37728,1093261.3531627823
5,3.5,1228,67858,292616.57400558033
1,2.5,4076,59089,736302.4461245094
5,2.5,1586,94257,324663.75146782654
7,3.5,2325,38964,456757.35260000033
5,2.5,2693,86992,481075.9572971982
1,4.5,2301,52240,441543.5353153343
1,5.0,904,93449,270089.0844684497
7,1.0,4678,22675,709072.9798403386
1,2.5,2880,70049,536496.3636576644
8,2.5,4940,91664,1083566.1388451017
1,1.5,3407,58436,631590.6494402455
4,3.5,3486,50213,784857.5221667876
8,2.0,4054,38111,809410.0383388428
8,4.0,1624,14284,475283.73867796717
7,3.0,4912,27585,866605.947385103
3,2.5,3575,75039,649780.4045318975
3,3.0,1106,17131,253319.86180508803
1,4.5,5456,53382,1164739.790093722
8,2.0,3551,43527,727196.8586785834
3,4.0,1653,97493,343827.3420706168
3,3.5,3274,40936,791815.3850224487
1,1.0,3167,97081,600790.1845073163
3,4.0,2504,63441,623160.9067454399
5,4.0,4970,64598,963406.6611549797
2,1.0,5187,89220,1188237.3341256715
7,5.0,5522,30642,1038108.0085850914
2,3.5,5646,79907,977691.8535745079
1,1.5,3494,22651,707254.099687084
4,3.0,5874,11665,1200000.0
7,2.5,1700,16918,401131.8206067409
1,4.0,4261,33007,1053148.7750793262
8,4.5,2236,85730,474708.0738467738
4,1.0,2055,35035,434998.2715007217
2,3.0,4213,99352,789837.9786283338
1,2.0,638,98602,130416.62178036121
8,1.0,3684,86749,738812.9074660366
7,2.0,4839,98148,864949.0985991358
7,3.5,3331,32211,818874.3362293905
6,4.0,3015,64587,786791.4279136113
8,4.5,1358,36866,377980.71619553113
5,2.5,4942,17344,797581.619230998
3,2.0,3716,78737,666317.0883259269
4,3.0,1364,80288,346975.37662457867
8,5.0,3022,72546,500753.7667860132
6,3.5,1914,20327,365889.534534365
3,5.0,4902,58659,1122615.1137393743
3,3.5,4595,55797,931997.9906033955
1,1.5,4629,81627,741601.0277045151
3,3.0,4293,37608,822093.8410478879
5,5.0,3785,38285,729200.9855428424
7,4.5,3466,98534,920657.7793531595
6,4.0,1917,58634,459249.3491136049
3,1.0,1300,50289,264024.85586721054
1,2.5,4983,98479,827609.9472425036
5,4.0,2801,28007,615163.541923647
2,4.0,2193,35257,467314.9127703749
7,3.5,4587,95054,835864.1293256545
7,4.5,5545,39784,1161268.2807528623
6,3.5,4745,48588,837060.3081545956
7,2.0,1830,54221,489929.17195796984
3,2.5,3212,31378,755115.4005840919
1,2.0,3737,14696,860335.7973812352
7,1.0,2508,44635,418639.8615787297
7,3.0,2390,68543,537344.8963435852
2,1.0,3528,91259,621911.4884896739
2,1.0,1688,29207,341922.87390760565
4,1.5,5851,37524,993360.2850451325
5,2.5,2981,38554,694544.1926494224
3,3.5,4727,21817,974830.0397304661
7,4.5,5563,65258,1046174.5709734928
8,2.0,3545,72582,691647.2552961367
7,1.0,4169,10168,677201.7969430559
1,2.0,5962,52981,1036256.7430825788
4,2.0,5911,75199,1200000.0
5,3.0,1765,74948,453142.8316259401
8,2.5,1200,67782,381003.58032308077
4,2.5,2625,90759,484937.66361959703
6,5.0,2184,71599,523949.4089564339
5,4.0,1587,83563,380452.545873355
7,2.5,5910,26291,1200000.0
7,2.0,2565,63833,414652.4676404704
5,3.5,2039,97057,499786.87984281656
7,2.0,5215,97154,1098445.2024594038
3,3.5,1468,42992,318354.37844704156
5,5.0,2663,49350,494037.3036032502
4,3.5,1729,11573,383986.5714555963
5,2.5,4978,18577,957726.4548384161
8,3.0,5056,18712,948929.956394821
7,3.5,4329,39948,748621.6935069325
3,2.0,5754,87700,1146214.9366386447
3,4.5,2534,15217,524889.0021434068
6,2.5,5654,70178,1200000.0
4,4.5,1676,95062,418017.0998180294
2,2.0,5800,36409,968589.3899829958
2,4.0,2239,59040,454659.81365939183
5,5.0,1992,88270,469638.713889377
6,2.5,630,89066,160890.17566759698
1,4.5,1303,87930,343790.11307625275
5,2.0,1468,77035,381293.9455481814
6,4.0,832,19669,261101.94282754432
4,2.0,5753,68247,1095773.5241998879
4,4.0,5962,68975,1009790.550234768
4,3.5,1550,38562,372122.38713226776
4,1.5,658,31629,175083.31651967016
4,2.0,3418,71463,625230.9184178585
6,3.5,4200,56007,779651.2499711479
6,2.5,3749,28128,670130.1739599389
3,3.5,901,12039,236529.69630302166
8,1.0,3450,13857,799006.4499779794
2,1.0,3544,69019,584928.6845148903
7,2.0,2523,80486,601267.6946355097
4,4.5,916,99007,296040.1078716743
1,4.5,2488,90977,537557.7759825467
7,2.5,5864,22735,869107.3191069898
6,3.5,3315,97951,684286.7789798111
1,4.5,5385,44511,1109323.4206838843
1,4.0,2481,56051,432105.0952519863
1,4.0,4498,62693,676012.5356856249
3,2.5,4713,79152,717110.8955118051
6,5.0,1778,90919,482634.9181904848
1,3.5,4455,39756,922438.3487173121
4,2.0,5473,13894,931592.8397222138
5,3.0,5055,53232,935212.4492780421
1,3.0,931,63214,194838.2130606936
3,3.0,1127,79817,254915.10968226497
7,4.5,2659,73862,490354.9458131861
6,5.0,1698,40036,430349.41396263946
8,5.0,811,28584,265906.9303621472
3,3.5,2314,42308,594722.0471045844
1,3.5,3288,38333,622302.3741882674
6,5.0,2930,45949,624673.423876254
5,2.5,3866,94795,847047.737294433
1,3.5,5749,49288,1200000.0
3,2.5,1632,88588,326756.3431669094
2,1.0,1932,87807,434081.4231469704
4,4.0,2440,55267,553981.2471480569
8,3.5,5286,42175,1149040.9996238546
7,5.0,2738,18915,658934.0841508328
3,4.0,5151,91658,912856.7797345485
6,4.0,4691,82454,1141841.5138747583
8,1.5,1043,69722,247813.511950371
8,5.0,4774,75298,869567.930075793
8,5.0,2098,23805,507578.90981380484
1,3.5,1526,95134,308283.81387795374
4,2.0,1222,50517,358929.8797399645
1,1.0,2079,64716,362198.1022292558
6,2.5,3637,12871,862168.034494213
1,2.0,3985,47375,732763.5408515348
2,1.0,3918,55741,837874.2013569525
4,2.0,833,33148,238158.93529599716
4,2.5,2217,15834,504848.21459207824
6,4.5,3291,52680,685568.1591495697
7,5.0,2630,13399,548746.9407632147
2,2.0,986,74091,249621.63699148153
3,3.5,2234,31762,400416.6085651665
1,3.0,4733,61009,1032166.6555617863
5,3.5,1784,86493,372667.8725560042
1,2.5,2567,61548,474326.00028843165
8,3.5,840,38340,275069.00430105533
1,4.0,5745,71365,1200000.0
3,5.0,1161,91344,276025.8610410541
1,4.0,2599,69790,463521.56777653226
2,3.5,5501,77797,852788.4751103659
2,1.0,2529,21809,449994.7559019215
4,1.5,5500,27696,1143370.9477388163
6,1.0,3379,61457,639397.7777606915
7,5.0,2275,31891,593838.9086640722
5,5.0,3115,69151,783856.9665595304
8,4.0,2277,94661,518386.0380793965
1,1.5,4741,73008,916677.2705091917
1,3.5,4346,62488,812739.0050198329
3,2.5,3956,66632,771470.3745000545
6,1.0,2251,76533,416888.63569316873
2,1.0,4777,81889,772820.4354775164
5,3.0,4441,94239,817732.9851654546
4,1.5,3041,67942,576771.5876519849
2,2.5,5485,19275,944801.3245484536
8,1.0,1194,29965,296368.6193007155
6,2.5,3212,45854,638857.7950270355
8,3.5,4696,25973,1074535.214719986
7,2.5,2096,99086,438336.4802027254
4,1.0,4155,36878,683101.6148783788
7,4.0,5461,27105,1057853.6796857147
3,1.5,5366,74746,847410.5885879131
8,5.0,3958,91565,765770.5097266312
3,2.0,2201,49935,457981.2533710435
1,4.5,1514,42784,332997.25952693046
7,4.5,2444,41601,557538.4771712327
6,2.0,2595,49865,554092.3786796051
8,2.5,694,88701,245077.01389441587
5,1.5,1092,28616,274230.1969064344
4,2.5,3669,21654,811637.0678843581
2,5.0,749,27830,197478.03356070298
6,1.5,1646,26205,348515.9013215833
6,2.0,3403,52425,758777.0672699066
3,2.5,5934,87495,1033816.3061966812
7,3.0,998,97694,275252.3520212248
8,1.0,5550,87355,1200000.0
8,4.0,5076,45851,1064088.8892210603
1,4.0,1151,16952,259943.30151672754
1,5.0,894,99761,274154.222248745
4,2.5,1743,57405,481469.55335144495
3,3.5,1055,15391,260910.4801776514
6,1.5,2153,90004,392292.96710572526
8,2.5,768,72468,242361.80964947963
5,1.5,5405,25091,1100780.3975132038
3,3.0,2546,40237,550877.7406801769
4,4.0,5980,68353,1200000.0
4,1.0,853,84500,211920.1389882319
3,4.0,2976,50682,750049.6456359327
4,3.5,1920,59634,430065.91428781825
3,3.5,3483,36968,600308.6643596377
2,4.5,4207,64833,839472.2995299998
3,4.5,2725,50205,545361.9165327866
7,3.5,4096,86907,628218.6763921916
3,2.0,2840,52541,530966.2564648777
4,3.0,1000,38285,216872.2815026468
8,1.5,2756,62513,592377.2977564682
7,3.0,2976,25430,595578.78249431
4,5.0,962,19033,288062.6075733731
1,1.0,4538,29918,829544.6296195501
1,3.0,4451,28256,900530.4640493767
8,3.5,4012,58522,767827.4282749431
8,4.0,2906,74353,778554.5878227605
7,5.0,684,41188,256090.53651718996
2,3.5,2424,65134,539856.7808928976
8,3.0,4485,62657,991645.830043166
1,4.0,907,46088,187414.60883630547
3,1.0,4957,24979,958561.62136669
4,3.0,2521,78264,606487.9810018771
1,1.5,1230,60106,238400.30127880102
1,2.5,5375,11595,914306.9668233205
2,4.0,5560,42624,931677.5450887992
7,3.0,2971,77824,696749.1879629036
7,3.5,3900,50431,873114.4846422359
6,1.5,4267,27127,978876.0378894291
2,2.0,1326,27878,281100.6470234335
3,4.0,5956,82480,1184793.6678035704
7,1.5,2248,70690,430170.34708641516
4,3.5,4912,87838,960803.9803509589
8,3.0,1869,66360,460141.85174503614
2,1.0,5143,10207,785568.0379503078
8,2.5,918,11083,263541.0875531066
1,1.5,4075,61564,718634.264988985
4,2.5,3378,13311,807866.0555828217
4,1.0,3658,33135,611890.3284966128
1,1.5,5753,67109,926172.8942103408
2,4.5,4734,71354,789912.1009809152
1,3.5,2202,73647,507179.3702078585
8,1.5,2856,69301,440596.9543665801
6,3.5,1429,72233,392493.796101514
4,5.0,1455,92128,374021.2555198415
5,4.0,3248,56212,745144.4900600676
5,5.0,2458,99468,568347.683115828
8,3.0,1702,67776,393785.75530664
3,4.0,3081,94576,649909.3408660801
7,4.0,2420,81386,624302.7946634492
1,2.0,5537,61588,1088769.2330487464
1,4.0,2679,41716,469180.6191367463
3,1.0,3758,88255,728519.4017549376
3,5.0,3040,31777,527557.1376230309
8,3.5,4284,59285,741209.3532258815
8,3.0,1855,92558,414553.57712408196
3,4.0,3557,38788,658097.649984436
4,3.0,4251,14019,810058.3575802236
8,3.0,2839,85018,654587.1918690793
6,4.0,2539,56873,506336.46674656647
8,4.0,869,94116,251054.11613507557
1,2.0,5430,19895,990303.2741623629
8,2.0,4664,89671,919048.2605676217
4,2.0,5579,59013,1062390.2295520569
3,3.5,4375,69570,942143.1105436843
1,3.5,1712,85923,331914.9553433231
8,2.0,1248,92895,325604.2433548343
4,2.0,1779,57672,473733.8201705601
6,4.5,2742,16121,592048.7240099865
8,4.5,616,92445,325446.89936713356
4,4.0,716,77863,187314.36549858504
6,2.5,5678,28930,1176207.9683904801
3,2.5,2145,59987,543183.6699524665
8,2.0,3751,45502,835572.9525038012
6,3.0,3293,41688,802096.0776573423
1,2.0,4689,17304,786327.6837753323
3,4.5,5658,14049,1131105.8025230537
1,4.0,1876,24947,371411.11423778284
5,2.0,3840,19495,648113.5663468118
2,5.0,5542,34707,1034904.5920659113
8,3.0,4388,71920,766236.0952252626
6,5.0,971,54544,300717.7210814913
2,4.0,3407,40706,692771.6732923286
2,4.0,755,43993,217802.27181430417
6,3.5,3261,24987,716586.8998564729
3,1.5,1064,29089,212761.10957381196
8,5.0,5478,75997,1055834.9441007783
5,3.5,5499,19993,914908.1776706052
1,4.5,4915,21465,991674.1165285679
4,1.0,2373,92071,501824.85498570587
1,3.0,716,42640,150971.9665910001
4,1.0,2703,85997,471096.1518662878
1,4.5,1974,22366,459589.37282038096
6,4.5,3803,39895,781786.7690811906
5,1.0,5003,11785,844326.2481982035
8,5.0,4146,16242,810513.7817370774
4,1.5,4577,34529,1046254.8775796324
8,5.0,4917,74399,1200000.0
8,1.0,1796,16356,519826.1173914382
8,5.0,4011,33229,938159.5026959982
7,2.5,1396,95380,313006.66514308064
3,5.0,4492,28220,925381.8628601814
1,4.0,750,35651,170492.1466092974
8,3.5,3849,97663,760531.0628698299
1,3.0,711,98198,187705.18433281776
8,5.0,1282,71850,400977.83454669
4,1.5,1761,44261,406372.65682572516
3,1.5,2979,68479,547172.8774962068
3,5.0,5588,60700,1113661.8706239215
6,2.0,760,52380,185289.59757787918
7,4.5,2025,89833,571727.7806164455
6,5.0,4261,98324,745433.5035977409
6,4.5,877,37011,272241.93555055565
6,2.5,3991,58603,768516.0725221446
6,1.0,2156,28447,556795.3907141472
6,2.5,5192,93940,1006921.3332499674
5,5.0,2515,96677,464727.82137804566
3,1.5,5350,97843,903527.4663314302
6,2.0,3707,85877,587145.9150037096
8,4.5,902,84678,282521.4049248955
3,3.5,5133,74583,1058623.1851647915
3,4.5,3373,73056,636807.1969148194
2,4.0,4881,91468,901019.862403203
5,3.0,3845,22017,735580.9713215173
6,5.0,5368,47880,1097941.0451759524
1,2.5,5969,11355,972284.5097633153
4,3.5,1600,68936,436461.43608541216
7,1.5,4434,74608,914160.557049553
8,1.5,4606,91622,864295.6154396171
1,1.5,5378,97051,851246.4576327096
5,4.0,2318,89756,507318.39619819017
4,1.5,4430,57266,891990.9920825212
5,1.5,5620,64554,841041.8968043354
8,5.0,3781,68215,970860.1057923187
3,4.0,3482,70656,695600.0084216605
4,2.0,1598,64104,306834.6228406423
3,2.0,884,86844,244564.72878029497
8,4.0,1020,10969,337634.90112868015
1,3.0,2760,10254,560783.598007616
8,3.5,3665,20306,659298.7827670557
1,4.5,2875,75516,483234.52858311665
4,5.0,2094,78197,494461.52515043184
4,1.0,4484,90845,786939.1356942864
6,2.0,5223,28223,1145621.2272666234
5,4.0,3143,81441,793205.1433923001
6,3.5,4726,77967,857612.5751024041
5,4.0,4857,83292,958794.3114876404
6,4.5,2441,80889,503742.8092154068
3,3.5,5400,60117,925785.8922508874
4,2.0,1321,11737,232436.65117476875
1,1.5,2001,92404,370601.2549380168
5,4.0,1045,42476,291865.5076942638
8,1.0,3391,34325,703995.1031754027
5,2.0,5122,22326,985081.446889835
1,2.5,4367,22911,741486.402909563
6,1.0,3151,39080,731077.2587735736
5,3.0,2567,32635,567965.0054455278
7,2.0,4488,61179,992069.5548390034
3,1.5,5416,15213,884905.4415442745
4,2.0,3331,67142,595093.4831460027
1,4.5,3229,73545,604821.793799641
4,3.5,2564,37940,564201.9121293736
7,4.0,1657,58604,368522.78288571024
5,3.5,5431,98901,1035551.4712045435
5,3.5,1357,84332,366948.9526985731
8,2.0,2395,59119,439285.7081923646
7,4.5,2243,92888,554435.815205218
1,4.0,5449,71604,1146241.1992868835
8,4.0,623,26820,299745.23495987704
3,3.5,1839,86502,446123.84493524703
8,3.0,4750,77345,910592.9855197994
2,4.5,3697,49314,807699.3326985694
1,3.0,1904,50875,440173.07006643555
2,5.0,5665,81041,1200000.0
7,5.0,3142,80793,558896.4694764818
6,1.0,4312,90587,887493.8888068132
2,3.5,4555,14909,711714.6138550276
3,4.0,5129,24866,1074187.518637603
8,2.0,4903,52789,1200000.0
6,4.0,4828,75997,925553.8425955117
8,4.0,5915,38460,1200000.0
2,1.5,5981,58500,1096487.4690195064
8,4.0,1905,78769,491804.3444331657
7,1.0,5064,22128,922307.0957296136
6,3.0,3774,15202,627874.7380628625
7,5.0,5902,75327,1200000.0
2,4.0,4228,57965,785924.2482066904
7,4.0,1381,41238,431687.3376143672
3,1.5,1166,89258,266084.7604277008
2,4.5,5222,59240,922942.6981336991
2,2.0,4732,93583,801354.9281997891
2,4.5,4873,78837,1092382.1140621526
1,2.0,1238,64289,261075.03872186723
8,4.0,4300,42544,955277.8649757034
1,1.5,4767,70064,928203.7354558728
1,2.5,2999,91176,573515.1874897989
3,3.5,3270,32413,633901.6947120177
6,5.0,1772,92341,485827.5866065525
8,3.0,2320,95669,442490.96916088276
7,5.0,704,58899,275589.53753136867
5,3.0,2282,96891,466634.5952096695
2,4.5,4916,98765,906024.110746257
7,1.0,2449,79969,561682.4253117106
2,4.0,1462,43033,379056.56565839925
3,2.5,4045,11378,785186.8091482087
2,3.0,3165,16503,634963.9668653668
1,3.5,898,52774,253410.79113025154
8,3.0,3508,69608,767022.1493304681
5,1.0,4737,43617,744461.4383423514
4,5.0,1370,14814,307126.100604842
2,1.5,3139,68335,678246.8174861138
7,5.0,2062,33763,566682.9555724075
1,1.5,4454,20000,668713.025246982
4,5.0,3718,90824,632074.059332037
5,3.5,2732,13274,581454.2354289222
4,5.0,2309,59868,509585.9841534994
1,3.5,1590,64232,362195.9835899358
8,3.5,1310,24227,330531.72042303917
8,1.5,4904,27279,849488.5623102111
6,4.5,5967,84904,1200000.0
8,2.0,5930,74940,1026769.3182162386
6,4.0,638,52736,201148.83935027217
4,3.0,1875,19651,401219.1730463002
3,2.0,5457,89439,1005862.0535136574
7,1.0,2036,94463,510808.8710384479
7,4.5,3593,17771,909339.0418047939
4,2.0,2069,88996,389688.86671431933
2,1.5,2699,80173,417366.2983361508
2,1.0,973,50834,214974.04023869504
8,2.5,5626,13553,908711.8995851213
7,4.5,4851,44117,996021.0405863645
7,2.0,4625,99116,966152.9900318156
6,1.0,1713,87058,447181.77948297106
3,2.5,3326,72137,593681.3041323614
1,5.0,2998,44890,583682.2862775816
2,1.0,3834,89428,823521.0543301267
7,1.5,1865,18689,393079.7771654152
6,5.0,3723,38063,772780.4146717945
5,1.5,1253,67198,324647.8297049394
6,2.0,4758,89598,1138387.5017871163
2,4.0,1108,11363,288293.3491321363
2,2.0,2939,26691,571698.7852168983
6,5.0,3762,12751,873773.4639024534
1,3.5,2287,17782,439973.07036639337
4,2.0,1988,93184,482528.59425555076
2,5.0,2797,22540,609533.94415341
6,1.0,4511,55991,808369.9711213014
7,2.0,5990,80875,1200000.0
6,1.0,3528,37609,601714.9160658144
3,1.5,5835,66655,1049454.5843674825
4,4.5,5399,81384,905577.766930079
5,4.0,1115,73177,330623.2613104309
1,1.5,4258,68396,908688.7801891693
8,1.5,2433,26877,484073.25186090305
5,5.0,5960,28405,1037394.8307815894
4,3.5,629,58629,176581.98863467702
4,3.0,3814,56233,726728.0807691624
4,3.5,925,31471,236119.79795895336
5,5.0,4366,13302,808388.2826361846
7,4.0,4711,89973,1175666.6968822642
4,5.0,710,90048,255073.24805560708
6,2.5,706,33511,215810.99867342814
5,1.5,3026,15022,514055.15587715525
8,4.5,4978,53239,1106487.8251438418
4,2.5,4964,81691,928066.5665776383
6,5.0,3131,69269,611988.7471229356
7,2.5,3744,68398,841654.2364310708
3,4.5,5916,71895,920710.9647725452
7,5.0,5962,79890,1200000.0
8,5.0,5293,45284,1141498.3183893573
4,2.5,1398,58640,306727.8957692352
8,1.0,5978,85692,949129.6541029576
5,2.0,5868,32453,1177857.7150318697
2,5.0,3037,99294,656117.421681942
4,2.5,2611,84374,587017.6778772108
2,3.0,1025,47976,255656.3434958806
6,4.0,3644,23725,721613.2124563647
3,3.0,3888,84873,686188.4608878171
1,2.5,3514,86237,537464.8138565625
8,1.5,1839,53043,440718.6398524252
7,1.5,3991,87080,651055.7990218238
3,2.5,4813,74990,978248.8340478365
4,5.0,4597,97050,980003.7032142911
2,4.5,3606,91863,669114.3108286317
7,2.0,3639,56809,739304.3168137512
2,5.0,1198,26705,337524.12423632457
5,3.0,2687,73131,498394.50193809834
2,2.0,1784,86015,341431.0563399741
5,3.0,3350,72456,637195.457795488
6,2.5,3184,86859,656820.4270977296
7,4.5,5359,88473,1043162.817404019
7,3.0,4113,33089,610347.9790273383
1,4.5,5345,77238,1126323.505462013
4,5.0,4654,85940,957963.9911258358
5,2.5,4983,83916,820434.0240528884
1,4.0,4536,97526,978480.4795855366
2,1.5,2299,71396,531520.5284136387
2,3.5,5107,13877,916990.9696903842
1,4.5,3175,94256,711961.5965523401
7,4.0,5737,83212,1200000.0
2,4.0,735,41818,166922.22207334568
8,4.5,2625,58555,497709.0826462738
6,4.0,4135,52368,875225.9465106229
6,3.0,5454,58180,926517.4190109008
8,4.0,5967,99666,1200000.0
1,2.0,3490,59421,582699.5571980892
8,3.0,3357,36620,860537.885033243
5,4.0,5720,70539,874981.586847536
5,5.0,4373,27077,991724.7576012586
1,1.5,980,22663,226234.48527401473
8,2.5,2128,93335,554651.6614024675
5,4.0,5501,57285,1164469.0471986025
7,1.0,5171,61235,757413.3909957132
8,1.5,4228,27619,954647.6904396458
7,5.0,5649,79503,1035670.7290006223
5,4.0,1448,67477,348649.8965172287
6,4.0,5592,37488,1027141.1961942755
5,3.5,4727,88747,927680.1638804146
7,2.0,2527,31169,469551.0482998246
3,2.0,2765,40373,528681.6100855811
4,1.5,4886,42669,1012434.9076009077
2,3.5,2721,65277,524523.7168838026
8,2.5,5318,82170,950915.9875983098
3,3.0,5822,65120,1192939.09835447
5,2.0,3518,76376,661911.7137684334
6,3.5,5281,64235,863281.6377719028
1,2.0,1072,44229,213367.41759821412
5,4.5,2387,96854,460721.93930460414
6,5.0,713,25405,251969.38298197425
4,2.5,1936,25847,404704.6654860925
5,5.0,938,33547,291698.2042827543
7,4.0,2885,16575,530400.2098204835
1,2.0,1796,14843,403773.4574207605
6,4.0,678,17739,223665.0196035001
6,1.0,5159,24852,810658.1860392964
6,2.0,3252,61661,664006.2814784821
4,3.5,5257,19157,1141726.7327077694
5,2.5,4980,97942,947597.7719577183
4,4.0,4918,82968,891856.9989410839
8,2.0,3240,28837,612007.1311925758
2,1.0,5985,90684,1040002.5930437823
2,5.0,1856,86730,449874.612579159
8,3.5,1427,24819,361374.7009559836
5,4.5,3318,82161,679694.574468525
7,2.0,5523,17404,888130.4607794392
4,4.5,3410,24674,797550.1147191256
1,1.5,3985,86043,660298.3183966419
6,2.5,2565,95923,533705.2986754255
6,2.0,3027,28697,619887.867244307
5,1.0,3441,95083,820786.6705675445
7,4.0,1213,70663,348182.48780554626
2,1.5,1162,33570,239040.84223715303
2,2.5,5426,38037,1069886.872975272
6,5.0,4952,47982,1040775.7486326582
5,3.5,784,78524,218807.21058824458
4,4.5,2792,15156,551887.921102275
2,1.5,4665,48280,816930.6060476206
4,4.0,845,85324,266029.06493745436
7,3.5,4686,70706,1098839.8119379517
2,5.0,2834,89721,581746.5520736328
2,4.0,1465,94270,344925.5838739294
3,1.0,2687,19971,483610.70137751376
2,4.5,1200,63140,278285.11703041935
8,2.0,5657,53408,1055338.3953918354
